y,Dom,Ag,Sau
1984,8,1,120
1985,8,4,200
1986,8,5,210
1987,9,25,230
1988,10,34,350
1989,10,39,420
1990,10,43,550
1991,10,46,610
1992,10,49,610
1993,10,53,620
1994,10,55,600
1995,11,58,600
1996,11,58,900
1997,12,59,1090
1998,13,52,1120
1999,14,52,880
2000,15,62,890
2001,15,58,945
2002,16,52,943
2003,16,58,923
2004,17,66,886
2005,17,58,856
2006,18,59,947
2007,18,57,962
2008,19,63,1042
2009,20,54,1052
2010,20,52,957
2011,20,68,1093
2012,20,60,1133
2013,20,60,1094
2014,120,64,1130
